"Game Date","DOW","Home Team","Score","Away Team","Score",".","Att."
10/06/11,"Thu.","Vancouver",3,"Pittsburgh",4,"SO",18860
10/06/11,"Thu.","Toronto",2,"Montreal",0,,19606
10/06/11,"Thu.","Boston",1,"Philadelphia",2,,17565
10/07/11,"Fri.","Dallas",2,"Chicago",1,,15285
10/07/11,"Fri.","Columbus",2,"Nashville",3,,18247
10/07/11,"Fri.","Detroit",5,"Ottawa",3,,20066
10/07/11,"Fri.","Carolina",1,"Tampa Bay",5,,18680
10/07/11,"Fri.","Los Angeles",3,"NY Rangers",2,"OT",13800
10/07/11,"Fri.","Buffalo",4,"Anaheim",1,,13349
10/08/11,"Sat.","San Jose",6,"Phoenix",3,,17562
10/08/11,"Sat.","Calgary",3,"Pittsburgh",5,,19289
10/08/11,"Sat.","Colorado",0,"Detroit",3,,18007
10/08/11,"Sat.","Chicago",5,"Dallas",2,,21674
10/08/11,"Sat.","Minnesota",4,"Columbus",2,,19040
10/08/11,"Sat.","St. Louis",2,"Nashville",4,,19150
10/08/11,"Sat.","NY Islanders",0,"Florida",2,,16234
10/08/11,"Sat.","Washington",4,"Carolina",3,"OT",18506
10/08/11,"Sat.","New Jersey",0,"Philadelphia",3,,17625
10/08/11,"Sat.","Toronto",6,"Ottawa",5,,19324
10/08/11,"Sat.","Boston",4,"Tampa Bay",1,,17565
10/08/11,"Sat.","Los Angeles",2,"Buffalo",4,,14300
10/08/11,"Sat.","Anaheim",2,"NY Rangers",1,"SO",13800
10/09/11,"Sun.","Edmonton",2,"Pittsburgh",1,"SO",16839
10/09/11,"Sun.","Winnipeg",1,"Montreal",5,,15004
10/10/11,"Mon.","Columbus",2,"Vancouver",3,,9187
10/10/11,"Mon.","Washington",6,"Tampa Bay",5,"SO",18506
10/10/11,"Mon.","Dallas",2,"Phoenix",1,"SO",6306
10/10/11,"Mon.","St. Louis",5,"Calgary",2,,19150
10/10/11,"Mon.","NY Islanders",2,"Minnesota",1,,11278
10/10/11,"Mon.","New Jersey",4,"Carolina",2,,12096
10/10/11,"Mon.","Boston",0,"Colorado",1,,17565
10/11/11,"Tue.","Ottawa",4,"Minnesota",3,"SO",19455
10/11/11,"Tue.","Pittsburgh",4,"Florida",2,,18503
10/12/11,"Wed.","Carolina",3,"Boston",2,,16483
10/12/11,"Wed.","Philadelphia",5,"Vancouver",4,,19632
10/12/11,"Wed.","Columbus",2,"Colorado",3,"SO",8986
10/13/11,"Thu.","Dallas",3,"St. Louis",2,,7949
10/13/11,"Thu.","Chicago",4,"Winnipeg",3,,21175
10/13/11,"Thu.","Minnesota",2,"Edmonton",1,"SO",15878
10/13/11,"Thu.","Nashville",2,"Phoenix",5,,17113
10/13/11,"Thu.","Detroit",2,"Vancouver",0,,20066
10/13/11,"Thu.","Ottawa",1,"Colorado",7,,19239
10/13/11,"Thu.","Montreal",1,"Calgary",4,,21273
10/13/11,"Thu.","Pittsburgh",2,"Washington",3,"OT",18512
10/13/11,"Thu.","NY Islanders",5,"Tampa Bay",1,,9759
10/13/11,"Thu.","New Jersey",2,"Los Angeles",1,"SO",12256
10/14/11,"Fri.","Anaheim",1,"San Jose",0,,17243
10/14/11,"Fri.","Buffalo",3,"Carolina",4,,18690
10/15/11,"Sat.","San Jose",2,"St. Louis",4,,17562
10/15/11,"Sat.","Edmonton",3,"Vancouver",4,,16839
10/15/11,"Sat.","Chicago",2,"Boston",3,"SO",22073
10/15/11,"Sat.","Dallas",4,"Columbus",2,,8305
10/15/11,"Sat.","Minnesota",2,"Detroit",3,"OT",17104
10/15/11,"Sat.","Nashville",2,"New Jersey",3,"SO",17113
10/15/11,"Sat.","Florida",3,"Tampa Bay",2,"SO",18352
10/15/11,"Sat.","Phoenix",4,"Winnipeg",1,,17132
10/15/11,"Sat.","Washington",2,"Ottawa",1,,18506
10/15/11,"Sat.","Pittsburgh",2,"Buffalo",3,,18562
10/15/11,"Sat.","Philadelphia",2,"Los Angeles",3,"OT",19644
10/15/11,"Sat.","NY Islanders",4,"NY Rangers",2,,16234
10/15/11,"Sat.","Montreal",5,"Colorado",6,"SO",21273
10/15/11,"Sat.","Toronto",3,"Calgary",2,,19410
10/16/11,"Sun.","Anaheim",4,"St. Louis",2,,14555
10/17/11,"Mon.","San Jose",2,"Anaheim",3,,17562
10/17/11,"Mon.","Edmonton",3,"Nashville",1,,16839
10/17/11,"Mon.","Winnipeg",2,"Pittsburgh",1,,15004
10/17/11,"Mon.","Tampa Bay",4,"Florida",7,,19204
10/17/11,"Mon.","Toronto",2,"Colorado",3,"OT",19359
10/18/11,"Tue.","Los Angeles",5,"St. Louis",0,,18118
10/18/11,"Tue.","Phoenix",2,"Chicago",5,,11051
10/18/11,"Tue.","Vancouver",0,"NY Rangers",4,,18860
10/18/11,"Tue.","Calgary",2,"Edmonton",1,,19289
10/18/11,"Tue.","Minnesota",2,"Pittsburgh",4,,17297
10/18/11,"Tue.","Ottawa",2,"Philadelphia",7,,18059
10/18/11,"Tue.","Montreal",1,"Buffalo",3,,21273
10/18/11,"Tue.","Columbus",2,"Dallas",3,,9158
10/18/11,"Tue.","Washington",3,"Florida",0,,18506
10/18/11,"Tue.","Boston",1,"Carolina",4,,17565
10/19/11,"Wed.","Toronto",4,"Winnipeg",3,"SO",19514
10/20/11,"Thu.","Phoenix",0,"Los Angeles",2,,7128
10/20/11,"Thu.","Vancouver",5,"Nashville",1,,18860
10/20/11,"Thu.","Edmonton",1,"Minnesota",2,"SO",16839
10/20/11,"Thu.","Calgary",2,"NY Rangers",3,"OT",19289
10/20/11,"Thu.","Colorado",1,"Chicago",3,,17523
10/20/11,"Thu.","Florida",0,"Buffalo",3,,14811
10/20/11,"Thu.","Tampa Bay",4,"NY Islanders",1,,18181
10/20/11,"Thu.","Ottawa",4,"Winnipeg",1,,17919
10/20/11,"Thu.","Pittsburgh",3,"Montreal",1,,18403
10/20/11,"Thu.","Philadelphia",2,"Washington",5,,19658
10/20/11,"Thu.","Boston",6,"Toronto",2,,17565
10/21/11,"Fri.","Anaheim",1,"Dallas",3,,12919
10/21/11,"Fri.","St. Louis",3,"Carolina",2,"OT",19150
10/21/11,"Fri.","Detroit",5,"Columbus",2,,20066
10/21/11,"Fri.","New Jersey",3,"San Jose",4,"SO",14319
10/22/11,"Sat.","Los Angeles",1,"Dallas",0,,18118
10/22/11,"Sat.","Edmonton",2,"NY Rangers",0,,16839
10/22/11,"Sat.","Chicago",4,"Colorado",5,"SO",21328
10/22/11,"Sat.","Florida",4,"NY Islanders",2,,15411
10/22/11,"Sat.","Tampa Bay",3,"Buffalo",0,,19204
10/22/11,"Sat.","Winnipeg",5,"Carolina",3,,15004
10/22/11,"Sat.","Washington",7,"Detroit",1,,18506
10/22/11,"Sat.","Pittsburgh",4,"New Jersey",1,,18535
10/22/11,"Sat.","Philadelphia",2,"St. Louis",4,,19593
10/22/11,"Sat.","Ottawa",4,"Columbus",3,,18867
10/22/11,"Sat.","Montreal",4,"Toronto",5,"OT",21273
10/22/11,"Sat.","Boston",2,"San Jose",4,,17545
10/22/11,"Sat.","Vancouver",3,"Minnesota",2,"OT",18860
10/22/11,"Sat.","Calgary",0,"Nashville",2,,19289
10/23/11,"Sun.","Anaheim",4,"Phoenix",5,,13240
10/24/11,"Mon.","Winnipeg",1,"NY Rangers",2,,15004
10/24/11,"Mon.","Montreal",1,"Florida",2,,21273
10/24/11,"Mon.","Philadelphia",4,"Toronto",2,,19569
10/25/11,"Tue.","Los Angeles",0,"New Jersey",3,,18118
10/25/11,"Tue.","Phoenix",2,"Dallas",3,"SO",6948
10/25/11,"Tue.","Edmonton",3,"Vancouver",2,,16839
10/25/11,"Tue.","Chicago",3,"Anaheim",2,"SO",21247
10/25/11,"Tue.","Nashville",1,"San Jose",3,,15121
10/25/11,"Tue.","Buffalo",3,"Tampa Bay",4,,18690
10/25/11,"Tue.","Columbus",4,"Detroit",1,,15100
10/25/11,"Tue.","Carolina",2,"Ottawa",3,"SO",12083
10/25/11,"Tue.","NY Islanders",0,"Pittsburgh",3,,10681
10/26/11,"Wed.","Vancouver",0,"St. Louis",3,,18860
10/26/11,"Wed.","Calgary",4,"Colorado",2,,19289
10/26/11,"Wed.","Montreal",5,"Philadelphia",1,,21273
10/27/11,"Thu.","Phoenix",5,"New Jersey",3,,7434
10/27/11,"Thu.","Edmonton",2,"Washington",1,,16839
10/27/11,"Thu.","Dallas",3,"Los Angeles",5,,8443
10/27/11,"Thu.","Minnesota",2,"Anaheim",3,,15723
10/27/11,"Thu.","Nashville",5,"Tampa Bay",3,,16619
10/27/11,"Thu.","Ottawa",4,"Florida",3,,18165
10/27/11,"Thu.","Pittsburgh",3,"NY Islanders",2,"SO",18461
10/27/11,"Thu.","Philadelphia",8,"Winnipeg",9,,19588
10/27/11,"Thu.","NY Rangers",2,"Toronto",4,,18200
10/27/11,"Thu.","Buffalo",4,"Columbus",2,,18690
10/27/11,"Thu.","Boston",1,"Montreal",2,,17565
10/28/11,"Fri.","Calgary",3,"St. Louis",1,,19289
10/28/11,"Fri.","Colorado",1,"Edmonton",3,,15057
10/28/11,"Fri.","Detroit",2,"San Jose",4,,20066
10/28/11,"Fri.","Carolina",3,"Chicago",0,,16056
10/29/11,"Sat.","Vancouver",7,"Washington",4,,18860
10/29/11,"Sat.","Phoenix",3,"Los Angeles",2,"OT",10379
10/29/11,"Sat.","Chicago",5,"Columbus",2,,21114
10/29/11,"Sat.","Dallas",3,"New Jersey",1,,11740
10/29/11,"Sat.","Minnesota",1,"Detroit",0,,17233
10/29/11,"Sat.","Nashville",3,"Anaheim",0,,16395
10/29/11,"Sat.","Tampa Bay",1,"Winnipeg",0,,19204
10/29/11,"Sat.","Philadelphia",5,"Carolina",1,,19683
10/29/11,"Sat.","NY Islanders",2,"San Jose",3,"OT",11742
10/29/11,"Sat.","Montreal",4,"Boston",2,,21273
10/29/11,"Sat.","Toronto",4,"Pittsburgh",3,,19526
10/29/11,"Sat.","Buffalo",2,"Florida",3,,18690
10/29/11,"Sat.","NY Rangers",4,"Ottawa",5,"SO",18200
10/30/11,"Sun.","Edmonton",4,"St. Louis",2,,16839
10/30/11,"Sun.","Colorado",3,"Los Angeles",2,,12355
10/30/11,"Sun.","Ottawa",3,"Toronto",2,,19522
10/30/11,"Sun.","Columbus",3,"Anaheim",1,,16022
10/31/11,"Mon.","Chicago",5,"Nashville",4,"OT",20721
10/31/11,"Mon.","Florida",3,"Winnipeg",4,"SO",11855
10/31/11,"Mon.","NY Rangers",5,"San Jose",2,,17852
11/01/11,"Tue.","Calgary",1,"Vancouver",5,,19289
11/01/11,"Tue.","Detroit",1,"Minnesota",2,"OT",20066
11/01/11,"Tue.","Washington",5,"Anaheim",4,"OT",18506
11/01/11,"Tue.","Carolina",4,"Tampa Bay",2,,13374
11/01/11,"Tue.","Boston",5,"Ottawa",3,,17565
11/02/11,"Wed.","Colorado",1,"Phoenix",4,,12141
11/02/11,"Wed.","New Jersey",3,"Toronto",5,,13033
11/02/11,"Wed.","Buffalo",2,"Philadelphia",3,,18299
11/03/11,"Thu.","San Jose",4,"Pittsburgh",3,"SO",17562
11/03/11,"Thu.","Los Angeles",0,"Edmonton",3,,18118
11/03/11,"Thu.","Phoenix",0,"Nashville",3,,6738
11/03/11,"Thu.","Minnesota",5,"Vancouver",1,,16534
11/03/11,"Thu.","Detroit",1,"Calgary",4,,20066
11/03/11,"Thu.","Florida",2,"Chicago",3,"SO",15929
11/03/11,"Thu.","Columbus",1,"Toronto",4,,14306
11/03/11,"Thu.","Philadelphia",3,"New Jersey",4,"SO",19667
11/03/11,"Thu.","NY Rangers",2,"Anaheim",1,"SO",18200
11/03/11,"Thu.","NY Islanders",0,"Winnipeg",3,,10157
11/04/11,"Fri.","Dallas",7,"Colorado",6,"OT",11981
11/04/11,"Fri.","St. Louis",3,"Vancouver",2,,19150
11/04/11,"Fri.","Tampa Bay",5,"Chicago",4,"OT",19204
11/04/11,"Fri.","Ottawa",1,"Montreal",2,,20329
11/04/11,"Fri.","Buffalo",2,"Calgary",1,,18690
11/04/11,"Fri.","Carolina",1,"Washington",5,,14589
11/05/11,"Sat.","San Jose",3,"Nashville",4,"OT",17562
11/05/11,"Sat.","Los Angeles",2,"Pittsburgh",3,"SO",18118
11/05/11,"Sat.","Phoenix",4,"Edmonton",2,,13381
11/05/11,"Sat.","Minnesota",2,"St. Louis",1,,16917
11/05/11,"Sat.","Detroit",5,"Anaheim",0,,20066
11/05/11,"Sat.","Philadelphia",9,"Columbus",2,,19784
11/05/11,"Sat.","NY Rangers",5,"Montreal",3,,18200
11/05/11,"Sat.","NY Islanders",5,"Washington",3,,14812
11/05/11,"Sat.","New Jersey",3,"Winnipeg",2,"OT",14952
11/05/11,"Sat.","Ottawa",2,"Buffalo",3,"SO",18805
11/05/11,"Sat.","Toronto",0,"Boston",7,,19497
11/06/11,"Sun.","Colorado",1,"Calgary",2,,15356
11/06/11,"Sun.","Chicago",2,"Vancouver",6,,21883
11/06/11,"Sun.","NY Rangers",3,"Winnipeg",0,,18200
11/06/11,"Sun.","Florida",3,"Tampa Bay",4,"SO",15066
11/06/11,"Sun.","Carolina",2,"Dallas",5,,14815
11/07/11,"Mon.","San Jose",4,"Los Angeles",2,,17562
11/07/11,"Mon.","Boston",6,"NY Islanders",2,,17565
11/08/11,"Tue.","Los Angeles",4,"Nashville",3,,17963
11/08/11,"Tue.","Calgary",0,"Minnesota",3,,19289
11/08/11,"Tue.","St. Louis",3,"Chicago",0,,19150
11/08/11,"Tue.","Detroit",5,"Colorado",2,,20066
11/08/11,"Tue.","Montreal",1,"Edmonton",3,,21273
11/08/11,"Tue.","New Jersey",3,"Carolina",2,,13056
11/08/11,"Tue.","Washington",2,"Dallas",5,,18506
11/08/11,"Tue.","Toronto",1,"Florida",5,,19414
11/08/11,"Tue.","Buffalo",6,"Winnipeg",5,"OT",18690
11/09/11,"Wed.","Anaheim",2,"Nashville",4,,13529
11/09/11,"Wed.","Tampa Bay",2,"Philadelphia",1,"OT",19204
11/09/11,"Wed.","Ottawa",2,"NY Rangers",3,,19543
11/10/11,"Thu.","San Jose",3,"Minnesota",1,,17562
11/10/11,"Thu.","Los Angeles",2,"Vancouver",3,,18118
11/10/11,"Thu.","Phoenix",2,"Montreal",3,"OT",14138
11/10/11,"Thu.","Colorado",4,"NY Islanders",3,"OT",13221
11/10/11,"Thu.","Winnipeg",2,"Florida",5,,15004
11/10/11,"Thu.","St. Louis",2,"Toronto",3,"SO",19150
11/10/11,"Thu.","Columbus",3,"Chicago",6,,15048
11/10/11,"Thu.","Boston",6,"Edmonton",3,,17565
11/11/11,"Fri.","Anaheim",4,"Vancouver",3,,17339
11/11/11,"Fri.","Chicago",4,"Calgary",1,,21720
11/11/11,"Fri.","Detroit",3,"Edmonton",0,,20066
11/11/11,"Fri.","Buffalo",5,"Ottawa",1,,18690
11/11/11,"Fri.","Pittsburgh",3,"Dallas",1,,18585
11/11/11,"Fri.","NY Rangers",5,"Carolina",1,,18200
11/11/11,"Fri.","New Jersey",1,"Washington",3,,15230
11/12/11,"Sat.","San Jose",0,"Phoenix",3,,17562
11/12/11,"Sat.","Los Angeles",5,"Minnesota",2,,18118
11/12/11,"Sat.","Colorado",3,"Calgary",4,,14919
11/12/11,"Sat.","St. Louis",3,"Tampa Bay",0,,19150
11/12/11,"Sat.","Nashville",1,"Montreal",2,"OT",17113
11/12/11,"Sat.","Columbus",2,"Winnipeg",1,,15581
11/12/11,"Sat.","Detroit",5,"Dallas",2,,20066
11/12/11,"Sat.","Carolina",5,"Pittsburgh",3,,16260
11/12/11,"Sat.","Washington",2,"New Jersey",3,"SO",18506
11/12/11,"Sat.","Toronto",2,"Ottawa",5,,19553
11/12/11,"Sat.","Boston",6,"Buffalo",2,,17565
11/13/11,"Sun.","Vancouver",4,"NY Islanders",1,,18860
11/13/11,"Sun.","Anaheim",2,"Minnesota",3,,13803
11/13/11,"Sun.","Chicago",6,"Edmonton",3,,21110
11/13/11,"Sun.","Florida",2,"Philadelphia",3,,15215
11/14/11,"Mon.","Winnipeg",5,"Tampa Bay",2,,15004
11/14/11,"Mon.","Montreal",2,"Buffalo",3,"SO",21273
11/14/11,"Mon.","Carolina",3,"Philadelphia",5,,14491
11/15/11,"Tue.","Calgary",1,"Ottawa",3,,19289
11/15/11,"Tue.","Dallas",0,"Florida",6,,10175
11/15/11,"Tue.","Nashville",3,"Washington",1,,14863
11/15/11,"Tue.","St. Louis",2,"Detroit",1,,19150
11/15/11,"Tue.","Pittsburgh",6,"Colorado",3,,18483
11/15/11,"Tue.","Columbus",2,"Minnesota",4,,10833
11/15/11,"Tue.","NY Islanders",2,"NY Rangers",4,,16234
11/15/11,"Tue.","Toronto",2,"Phoenix",3,"SO",19522
11/15/11,"Tue.","Boston",4,"New Jersey",3,,17565
11/16/11,"Wed.","Los Angeles",2,"Anaheim",1,"SO",18118
11/16/11,"Wed.","Vancouver",1,"Chicago",5,,18860
11/16/11,"Wed.","Buffalo",3,"New Jersey",5,,18690
11/16/11,"Wed.","Montreal",4,"Carolina",0,,21273
11/17/11,"Thu.","San Jose",5,"Detroit",2,,17562
11/17/11,"Thu.","Anaheim",3,"Los Angeles",5,,15412
11/17/11,"Thu.","Edmonton",2,"Ottawa",5,,16839
11/17/11,"Thu.","Winnipeg",4,"Washington",1,,15004
11/17/11,"Thu.","Minnesota",1,"Colorado",0,,16779
11/17/11,"Thu.","Nashville",4,"Toronto",1,,16135
11/17/11,"Thu.","St. Louis",4,"Florida",1,,17642
11/17/11,"Thu.","Tampa Bay",4,"Pittsburgh",1,,18509
11/17/11,"Thu.","Philadelphia",2,"Phoenix",1,,19610
11/17/11,"Thu.","NY Islanders",4,"Montreal",3,,9928
11/17/11,"Thu.","Boston",2,"Columbus",1,"SO",17565
11/18/11,"Fri.","Calgary",5,"Chicago",2,,19289
11/18/11,"Fri.","Colorado",3,"Dallas",0,,16091
11/18/11,"Fri.","Carolina",0,"Buffalo",1,,15072
11/19/11,"Sat.","Edmonton",9,"Chicago",2,,16839
11/19/11,"Sat.","Dallas",1,"San Jose",4,,13711
11/19/11,"Sat.","Minnesota",3,"St. Louis",2,"SO",17259
11/19/11,"Sat.","Nashville",3,"Columbus",4,"OT",16776
11/19/11,"Sat.","Florida",3,"Pittsburgh",2,,18071
11/19/11,"Sat.","Tampa Bay",2,"New Jersey",4,,18894
11/19/11,"Sat.","NY Islanders",0,"Boston",6,,16011
11/19/11,"Sat.","Montreal",4,"NY Rangers",0,,21273
11/19/11,"Sat.","Toronto",7,"Washington",1,,19594
11/19/11,"Sat.","Buffalo",2,"Phoenix",4,,18690
11/19/11,"Sat.","Los Angeles",1,"Detroit",4,,18118
11/19/11,"Sat.","Winnipeg",6,"Philadelphia",4,,15004
11/20/11,"Sun.","Vancouver",2,"Ottawa",1,"OT",18890
11/20/11,"Sun.","Anaheim",2,"Detroit",4,,17229
11/20/11,"Sun.","Colorado",1,"San Jose",4,,15013
11/20/11,"Sun.","Carolina",3,"Toronto",2,,13187
11/21/11,"Mon.","Dallas",4,"Edmonton",1,,11458
11/21/11,"Mon.","Florida",4,"New Jersey",3,,13122
11/21/11,"Mon.","Montreal",0,"Boston",1,,21273
11/21/11,"Mon.","Columbus",4,"Calgary",1,,11629
11/21/11,"Mon.","Washington",4,"Phoenix",3,,18506
11/21/11,"Mon.","Pittsburgh",5,"NY Islanders",0,,18571
11/21/11,"Mon.","Philadelphia",2,"Carolina",4,,19632
