"  P - BUFFALO",1
"  Z - DETROIT",2
"  X - NASHVILLE",3
"  Y - ANAHEIM",4
"  X - SAN JOSE",5
"  X - DALLAS",6
"  Y - NEW JERSEY",7
"  Y - VANCOUVER",8
"  X - OTTAWA",9
"  X - PITTSBURGH",10
"  X - MINNESOTA",11
" Y - ATLANTA",12
"  X - CALGARY",13
"  COLORADO",14
"  X - NY RANGERS",15
"  X - TAMPA BAY",16
"  X - NY ISLANDERS",17
"  TORONTO",18
"  MONTRÉAL",19
"  CAROLINA",20
"  FLORIDA",21
"  ST. LOUIS",22
"  BOSTON",23
"  COLUMBUS",24
"  EDMONTON",25
"  CHICAGO",26
"  WASHINGTON",27
"  LOS ANGELES",28
"  PHOENIX",29
"  PHILADELPHIA",30
