,,"DIV","GP","W","L","T","OTL","P","GF","GA","DIFF","HOME","AWAY","L10","STREAK"
1,"  P - OTTAWA","NE",82,52,21,8,1,113,263,182,81,"28-9-3-1","24-12-5-0","7-2-1-0","WON 4"
2,"  Z - DALLAS","PAC",82,46,17,15,4,111,245,169,76,"28-5-6-2","18-12-9-2","7-1-0-2","WON 4"
3,"  Y - DETROIT","CEN",82,48,20,10,4,110,269,203,66,"28-6-5-2","20-14-5-2","6-2-1-1","LOST 1"
4,"  Y - NEW JERSEY","ATL",82,46,20,10,6,108,216,166,50,"25-11-3-2","21-9-7-4","5-0-4-1","TIED 1"
5,"  X - PHILADELPHIA","ATL",82,45,20,13,4,107,211,166,45,"21-10-8-2","24-10-5-2","7-1-2-0","WON 5"
6,"  X - VANCOUVER","NW",82,45,23,13,1,104,264,208,56,"22-13-6-0","23-10-7-1","5-4-1-0","LOST 1"
7,"  Y - COLORADO","NW",82,42,19,13,8,105,251,194,57,"21-9-8-3","21-10-5-5","7-1-1-1","WON 2"
8,"  X - ST. LOUIS","CEN",82,41,24,11,6,99,253,222,31,"23-11-4-3","18-13-7-3","3-5-2-0","LOST 1"
9,"  X - TORONTO","NE",82,44,28,7,3,98,236,208,28,"24-13-4-0","20-15-3-3","5-2-2-1","LOST 1"
10,"  X - ANAHEIM","PAC",82,40,27,9,6,95,203,193,10,"22-10-7-2","18-17-2-4","5-2-1-2","LOST 2"
11,"  Y - TAMPA BAY","SE",82,36,25,16,5,93,219,210,9,"22-9-7-3","14-16-9-2","3-2-5-0","LOST 2"
12,"  X - MINNESOTA","NW",82,42,29,10,1,95,198,178,20,"25-13-3-0","17-16-7-1","6-4-0-0","WON 1"
13,"  X - WASHINGTON","SE",82,39,29,8,6,92,224,220,4,"24-13-2-2","15-16-6-4","6-3-0-1","WON 1"
14,"  X - EDMONTON","NW",82,36,26,11,9,92,231,230,1,"20-12-5-4","16-14-6-5","5-1-3-1","LOST 1"
15,"  X - BOSTON","NE",82,36,31,11,4,87,245,237,8,"23-11-5-2","13-20-6-2","3-4-3-0","WON 1"
16,"  X - NY ISLANDERS","ATL",82,35,34,11,2,83,224,231,-7,"18-18-5-0","17-16-6-2","3-5-2-0","WON 1"
17,"  CHICAGO","CEN",82,30,33,13,6,79,207,226,-19,"17-15-7-2","13-18-6-4","3-3-3-1","WON 1"
18,"  LOS ANGELES","PAC",82,33,37,6,6,78,203,221,-18,"19-19-2-2","14-18-4-5","3-3-1-3","WON 1"
19,"  PHOENIX","PAC",82,31,35,11,5,78,204,230,-26,"17-16-6-2","14-19-5-3","2-5-2-1","TIED 1"
20,"  MONTRÉAL","NE",82,30,35,8,9,77,206,234,-28,"16-16-5-4","14-19-3-5","3-6-0-1","WON 1"
21,"  NY RANGERS","ATL",82,32,36,10,4,78,210,231,-21,"17-18-4-2","15-18-6-2","4-4-1-1","LOST 2"
22,"  CALGARY","NW",82,29,36,13,4,75,186,228,-42,"14-16-10-1","15-20-3-3","5-3-2-0","WON 2"
23,"  SAN JOSE","PAC",82,28,37,9,8,73,214,239,-25,"17-16-5-3","11-21-4-5","2-4-3-1","TIED 3"
24," ATLANTA","SE",82,31,39,7,5,74,226,284,-58,"15-19-4-3","16-20-3-2","6-3-1-0","WON 2"
25,"  NASHVILLE","CEN",82,27,35,13,7,74,183,206,-23,"18-17-5-1","9-18-8-6","0-6-2-2","LOST 6"
26,"  BUFFALO","NE",82,27,37,10,8,72,190,219,-29,"18-16-5-2","9-21-5-6","5-3-1-1","TIED 1"
27,"  FLORIDA","SE",82,24,36,13,9,70,176,237,-61,"8-21-7-5","16-15-6-4","2-7-1-0","LOST 1"
28,"  COLUMBUS","CEN",82,29,42,8,3,69,213,263,-50,"20-14-5-2","9-28-3-1","4-5-1-0","LOST 1"
29,"  PITTSBURGH","ATL",82,27,44,6,5,65,189,255,-66,"15-22-2-2","12-22-4-3","2-7-1-0","LOST 1"
30,"  CAROLINA","SE",82,22,43,11,6,61,171,240,-69,"12-17-9-3","10-26-2-3","0-8-2-0","LOST 6"
