,,"DIV","GP","W","L","OT","P","GF","GA","DIFF","HOME","AWAY","S/O","L10","STREAK"
1,"  P - DETROIT","CEN",82,54,21,7,115,257,184,73,"29-9-3","25-12-4",05/05/13,07/02/01,"WON 2"
2,"  Y - SAN JOSE","PAC",82,49,23,10,108,222,193,29,"22-13-6","27-10-4",06/06/13,07/02/01,"LOST 2"
3,"  Z - MONTRÉAL","NE",82,47,25,10,104,262,222,40,"22-13-6","25-12-4",05/06/13,08/01/01,"WON 3"
4,"  Y - PITTSBURGH","ATL",82,47,27,8,102,247,216,31,"26-10-5","21-17-3",07/04/13,06/03/01,"LOST 1"
5,"  X - ANAHEIM","PAC",82,47,27,8,102,205,191,14,"28-9-4","19-18-4",08/07/13,08/02/00,"WON 3"
6,"  X - NEW JERSEY","ATL",82,46,29,7,99,206,197,9,"25-14-2","21-15-5",08/04/13,04/05/01,"WON 1"
7,"  Y - MINNESOTA","NW",82,44,28,10,98,223,218,5,"25-11-5","19-17-5",03/08/13,06/02/02,"LOST 1"
8,"  X - DALLAS","PAC",82,45,30,7,97,242,207,35,"23-16-2","22-14-5",05/03/13,03/05/02,"WON 1"
9,"  X - NY RANGERS","ATL",82,42,27,13,97,213,199,14,"25-13-3","17-14-10",08/09/13,05/01/04,"LOST 2"
10,"  X - COLORADO","NW",82,44,31,7,95,231,219,12,"27-12-2","17-19-5",07/03/13,05/04/01,"WON 2"
11,"  X - PHILADELPHIA","ATL",82,42,29,11,95,248,233,15,"21-14-6","21-15-5",03/06/13,07/02/01,"WON 2"
12,"  Y - WASHINGTON","SE",82,43,31,8,94,242,231,11,"23-15-3","20-16-5",04/04/13,09/01/00,"WON 7"
13,"  X - OTTAWA","NE",82,43,31,8,94,261,247,14,"22-15-4","21-16-4",03/05/13,03/06/01,"LOST 1"
14,"  X - CALGARY","NW",82,42,30,10,94,229,227,2,"21-11-9","21-19-1",03/03/13,05/05/00,"WON 1"
15,"  X - BOSTON","NE",82,41,29,12,94,212,222,-10,"21-16-4","20-13-8",06/07/13,04/02/04,"LOST 1"
16,"  CAROLINA","SE",82,43,33,6,92,252,249,3,"24-13-4","19-20-2",02/03/13,05/04/01,"LOST 1"
17,"  X - NASHVILLE","CEN",82,41,32,9,91,230,229,1,"23-14-4","18-18-5",03/05/13,06/03/01,"LOST 1"
18,"  BUFFALO","NE",82,39,31,12,90,255,242,13,"20-15-6","19-16-6",04/09/13,06/03/01,"WON 1"
19,"  EDMONTON","NW",82,41,35,6,88,235,251,-16,"23-17-1","18-18-5","15-4",06/03/01,"WON 1"
20,"  CHICAGO","CEN",82,40,34,8,88,239,235,4,"23-16-2","17-18-6",05/04/13,06/03/01,"LOST 1"
21,"  VANCOUVER","NW",82,39,33,10,88,213,215,-2,"21-15-5","18-18-5",06/09/13,03/07/00,"LOST 3"
22,"  FLORIDA","SE",82,38,35,9,85,216,226,-10,"18-15-8","20-20-1",05/06/13,05/04/01,"LOST 1"
23,"  PHOENIX","PAC",82,38,37,7,83,214,231,-17,"17-20-4","21-17-3",05/06/13,02/06/02,"LOST 1"
24,"  TORONTO","NE",82,36,35,11,83,231,260,-29,"18-17-6","18-18-5",03/04/13,04/05/01,"LOST 3"
25,"  COLUMBUS","CEN",82,34,36,12,80,193,218,-25,"20-14-7","14-22-5",03/08/13,02/07/01,"LOST 5"
26,"  NY ISLANDERS","ATL",82,35,38,9,79,194,243,-49,"18-18-5","17-20-4",05/03/13,03/05/02,"WON 1"
27,"  ST. LOUIS","CEN",82,33,36,13,79,205,237,-32,"20-15-6","13-21-7",03/05/13,04/04/02,"WON 2"
28," ATLANTA","SE",82,34,40,8,76,216,272,-56,"19-19-3","15-21-5",09/06/13,03/07/00,"WON 1"
29,"  LOS ANGELES","PAC",82,32,43,7,71,231,266,-35,"17-21-3","15-22-4",05/03/13,04/05/01,"LOST 1"
30,"  TAMPA BAY","SE",82,31,42,9,71,223,267,-44,"20-18-3",11/24/06,02/01/13,02/07/01,"LOST 4"
