,,"DIV","GP","W","L","OT","P","ROW","GF","GA","DIFF","HOME","AWAY","S/O","L10","STREAK"
1,"  P - VANCOUVER","NW",82,51,22,9,111,43,249,198,51,"27-10-4","24-12-5",08/07/13,08/01/01,"WON 1"
2,"  Z - NY RANGERS","ATL",82,51,24,7,109,47,226,187,39,"27-12-2","24-12-5",04/05/13,06/04/00,"LOST 2"
3,"  Y - ST. LOUIS","CEN",82,49,22,11,109,45,210,165,45,"30-6-5","19-16-6",04/10/13,04/03/03,"WON 1"
4,"  X - PITTSBURGH","ATL",82,51,25,6,108,42,282,221,61,"29-10-2","22-15-4",09/03/13,06/04/00,"WON 3"
5,"  X - NASHVILLE","CEN",82,48,26,8,104,43,237,210,27,"26-10-5","22-16-3",05/05/13,06/04/00,"WON 3"
6,"  X - PHILADELPHIA","ATL",82,47,26,9,103,43,264,232,32,"22-13-6","25-13-3",04/07/13,05/04/01,"LOST 1"
7,"  Y - BOSTON","NE",82,49,29,4,102,40,269,202,67,"24-14-3","25-15-1",09/03/13,07/02/01,"WON 2"
8,"  X - DETROIT","CEN",82,48,28,6,102,39,248,203,45,"31-7-3","17-21-3",09/03/13,04/04/02,"OT 1"
9,"  X - NEW JERSEY","ATL",82,48,28,6,102,36,228,209,19,"24-13-4","24-15-2",12/04/13,07/02/01,"WON 6"
10,"  X - CHICAGO","CEN",82,45,26,11,101,38,248,238,10,"27-8-6","18-18-5",07/07/13,06/01/03,"WON 1"
11,"  Y - PHOENIX","PAC",82,42,27,13,97,36,216,204,12,"22-13-6","20-14-7",06/10/13,07/01/02,"WON 5"
12,"  X - SAN JOSE","PAC",82,43,29,10,96,34,228,210,18,"26-12-3","17-17-7",09/05/13,07/03/00,"WON 4"
13,"  X - LOS ANGELES","PAC",82,40,27,15,95,34,194,179,15,"22-14-5","18-13-10",06/09/13,05/02/03,"OT 2"
14,"  Y - FLORIDA","SE",82,38,26,18,94,32,203,227,-24,"21-9-11","17-17-7",06/11/13,02/03/05,"WON 1"
15,"  X - WASHINGTON","SE",82,42,32,8,92,38,222,230,-8,"26-11-4","16-21-4",04/04/13,06/02/02,"WON 2"
16,"  X - OTTAWA","NE",82,41,31,10,92,35,249,240,9,"20-17-4","21-14-6",06/04/13,04/06/00,"LOST 3"
17,"  CALGARY","NW",82,37,29,16,90,34,202,226,-24,"23-12-6","14-17-10",03/09/13,03/03/04,"WON 2"
18,"  DALLAS","PAC",82,42,35,5,89,35,211,222,-11,"22-16-3","20-19-2",07/04/13,03/07/00,"LOST 5"
19,"  BUFFALO","NE",82,39,32,11,89,32,218,230,-12,"21-12-8","18-20-3",07/07/13,06/03/01,"OT 1"
20,"  COLORADO","NW",82,41,35,6,88,32,208,220,-12,"22-17-2","19-18-4",09/02/13,03/05/02,"LOST 2"
21,"  TAMPA BAY","SE",82,38,36,8,84,35,235,281,-46,"25-14-2","13-22-6",03/03/13,06/03/01,"WON 1"
22,"  WINNIPEG","SE",82,37,35,10,84,33,225,246,-21,"23-13-5","14-22-5",04/04/13,03/05/02,"OT 1"
23,"  CAROLINA","SE",82,33,33,16,82,32,213,243,-30,"20-14-7","13-19-9",01/06/13,05/04/01,"LOST 1"
24,"  MINNESOTA","NW",82,35,36,11,81,24,177,226,-49,"20-17-4","15-19-7",11/09/13,05/04/01,"LOST 1"
25,"  ANAHEIM","PAC",82,34,36,12,80,31,204,231,-27,"21-18-2","13-18-10",03/07/13,04/05/01,"LOST 1"
26,"  TORONTO","NE",82,35,37,10,80,31,231,264,-33,"18-16-7","17-21-3",04/05/13,03/05/02,"LOST 1"
27,"  NY ISLANDERS","ATL",82,34,37,11,79,27,203,255,-52,"17-18-6","17-19-5",07/04/13,05/05/00,"LOST 1"
28,"  MONTRÉAL","NE",82,31,35,16,78,26,212,226,-14,"16-15-10","15-20-6",05/12/13,03/03/04,"WON 1"
29,"  EDMONTON","NW",82,32,40,10,74,27,212,239,-27,"18-17-6","14-23-4",05/07/13,04/04/02,"LOST 1"
30,"  COLUMBUS","CEN",82,29,46,7,65,25,202,262,-60,"17-21-3",12/25/04,04/05/13,06/04/00,"WON 2"
