"Game Date","DOW","Home Team","Score","Away Team","Score",".","Att."
01/19/13,"Sat.","Los Angeles",2,"Chicago",5,,18545
01/19/13,"Sat.","Florida",5,"Carolina",1,,19688
01/19/13,"Sat.","Nashville",2,"Columbus",3,"SO",17113
01/19/13,"Sat.","Minnesota",4,"Colorado",2,,19298
01/19/13,"Sat.","St. Louis",6,"Detroit",0,,20035
01/19/13,"Sat.","NY Islanders",1,"New Jersey",2,,16170
01/19/13,"Sat.","Winnipeg",1,"Ottawa",4,,15004
01/19/13,"Sat.","Boston",3,"NY Rangers",1,,17565
01/19/13,"Sat.","Philadelphia",1,"Pittsburgh",3,,19994
01/19/13,"Sat.","Dallas",4,"Phoenix",3,,18532
01/19/13,"Sat.","Vancouver",3,"Anaheim",7,,18910
01/19/13,"Sat.","Montreal",1,"Toronto",2,,21273
01/19/13,"Sat.","Tampa Bay",6,"Washington",3,,19204
01/20/13,"Sun.","Phoenix",4,"Chicago",6,,17363
01/20/13,"Sun.","Minnesota",1,"Dallas",0,,18296
01/20/13,"Sun.","Vancouver",2,"Edmonton",3,"SO",18910
01/20/13,"Sun.","Buffalo",5,"Philadelphia",2,,19070
01/20/13,"Sun.","NY Rangers",3,"Pittsburgh",6,,17200
01/20/13,"Sun.","Calgary",1,"San Jose",4,,19289
01/21/13,"Mon.","Ottawa",4,"Florida",0,,19952
01/21/13,"Mon.","Toronto",1,"Buffalo",2,,19475
01/21/13,"Mon.","Calgary",4,"Anaheim",5,,19289
01/21/13,"Mon.","Nashville",3,"St. Louis",4,"SO",17113
01/21/13,"Mon.","NY Islanders",4,"Tampa Bay",3,,15322
01/21/13,"Mon.","Boston",2,"Winnipeg",1,"SO",17565
01/21/13,"Mon.","Columbus",3,"Detroit",4,"SO",19206
01/22/13,"Tue.","Detroit",1,"Dallas",2,,20066
01/22/13,"Tue.","Colorado",3,"Los Angeles",1,,18007
01/22/13,"Tue.","Montreal",4,"Florida",1,,21273
01/22/13,"Tue.","Minnesota",1,"Nashville",3,,17540
01/22/13,"Tue.","New Jersey",3,"Philadelphia",0,,17625
01/22/13,"Tue.","Chicago",3,"St. Louis",2,,21455
01/22/13,"Tue.","Edmonton",3,"San Jose",6,,16839
01/22/13,"Tue.","Carolina",1,"Tampa Bay",4,,18680
01/22/13,"Tue.","Washington",2,"Winnipeg",4,,18506
01/23/13,"Wed.","Phoenix",5,"Columbus",1,,8355
01/23/13,"Wed.","Vancouver",3,"Calgary",2,"SO",19810
01/23/13,"Wed.","NY Rangers",4,"Boston",3,"OT",17200
01/23/13,"Wed.","Pittsburgh",2,"Toronto",5,,18641
01/24/13,"Thu.","Dallas",2,"Chicago",3,"OT",17868
01/24/13,"Thu.","Colorado",4,"Columbus",0,,14325
01/24/13,"Thu.","Edmonton",2,"Los Angeles",1,"OT",16839
01/24/13,"Thu.","St. Louis",3,"Nashville",0,,16047
01/24/13,"Thu.","Washington",1,"Montreal",4,,18506
01/24/13,"Thu.","Toronto",4,"NY Islanders",7,,19125
01/24/13,"Thu.","Florida",1,"Ottawa",3,,15634
01/24/13,"Thu.","Philadelphia",2,"NY Rangers",1,,19596
01/24/13,"Thu.","San Jose",5,"Phoenix",3,,17562
01/24/13,"Thu.","Carolina",6,"Buffalo",3,,18081
01/25/13,"Fri.","Buffalo",1,"Carolina",3,,18824
01/25/13,"Fri.","Detroit",5,"Minnesota",3,,20066
01/25/13,"Fri.","Boston",4,"NY Islanders",2,,17565
01/25/13,"Fri.","Tampa Bay",6,"Ottawa",4,,19204
01/25/13,"Fri.","Winnipeg",4,"Pittsburgh",2,,15004
01/25/13,"Fri.","Anaheim",0,"Vancouver",5,,17529
01/25/13,"Fri.","New Jersey",3,"Washington",2,"OT",17625
01/26/13,"Sat.","Columbus",2,"Chicago",3,,18381
01/26/13,"Sat.","San Jose",4,"Colorado",0,,17562
01/26/13,"Sat.","Calgary",4,"Edmonton",3,,19289
01/26/13,"Sat.","Phoenix",2,"Los Angeles",4,,14780
01/26/13,"Sat.","Anaheim",3,"Nashville",2,"SO",17174
01/26/13,"Sat.","Florida",1,"Philadelphia",7,,19311
01/26/13,"Sat.","Dallas",3,"St. Louis",4,,17131
01/26/13,"Sat.","NY Rangers",5,"Toronto",2,,17200
01/27/13,"Sun.","Chicago",2,"Detroit",1,"OT",21607
01/27/13,"Sun.","St. Louis",5,"Minnesota",4,"OT",18265
01/27/13,"Sun.","Winnipeg",5,"NY Islanders",4,"OT",15004
01/27/13,"Sun.","Tampa Bay",5,"Philadelphia",1,,19204
01/27/13,"Sun.","Ottawa",1,"Pittsburgh",2,"SO",20081
01/27/13,"Sun.","San Jose",4,"Vancouver",1,,17562
01/27/13,"Sun.","Washington",3,"Buffalo",2,,18506
01/27/13,"Sun.","Montreal",4,"New Jersey",3,"OT",21273
01/28/13,"Mon.","Edmonton",4,"Colorado",1,,16839
01/28/13,"Mon.","Columbus",2,"Dallas",1,,10475
01/28/13,"Mon.","Phoenix",4,"Nashville",0,,8581
01/28/13,"Mon.","Los Angeles",3,"Vancouver",2,"SO",18344
01/28/13,"Mon.","Carolina",3,"Boston",5,,17190
01/29/13,"Tue.","Minnesota",3,"Columbus",2,,17584
01/29/13,"Tue.","Detroit",4,"Dallas",1,,20066
01/29/13,"Tue.","Tampa Bay",5,"Florida",2,,19204
01/29/13,"Tue.","Boston",2,"New Jersey",1,"SO",17565
01/29/13,"Tue.","Pittsburgh",1,"NY Islanders",4,,18657
01/29/13,"Tue.","NY Rangers",2,"Philadelphia",1,,17200
01/29/13,"Tue.","San Jose",3,"Anaheim",2,"SO",17562
01/29/13,"Tue.","Buffalo",3,"Toronto",4,"OT",18801
01/29/13,"Tue.","Montreal",4,"Winnipeg",3,,21273
01/29/13,"Tue.","Ottawa",3,"Washington",2,,19267
01/30/13,"Wed.","Minnesota",3,"Chicago",2,"SO",18550
01/30/13,"Wed.","Vancouver",3,"Colorado",0,,18910
01/30/13,"Wed.","Phoenix",1,"Edmonton",2,"OT",12955
01/30/13,"Wed.","Ottawa",5,"Montreal",1,,19620
01/31/13,"Thu.","Calgary",3,"Colorado",6,,19289
01/31/13,"Thu.","San Jose",3,"Edmonton",2,"SO",17562
01/31/13,"Thu.","Los Angeles",1,"Nashville",2,"SO",18118
01/31/13,"Thu.","New Jersey",4,"NY Islanders",5,"OT",17625
01/31/13,"Thu.","NY Rangers",0,"Pittsburgh",3,,17200
01/31/13,"Thu.","Boston",4,"Buffalo",7,,17565
01/31/13,"Thu.","Columbus",1,"St. Louis",4,,11155
01/31/13,"Thu.","Florida",6,"Winnipeg",3,,15731
01/31/13,"Thu.","Toronto",3,"Washington",2,,19374
02/01/13,"Fri.","Tampa Bay",8,"Winnipeg",3,,19204
02/01/13,"Fri.","Detroit",5,"St. Louis",3,,20066
02/01/13,"Fri.","Dallas",4,"Phoenix",3,"SO",18101
02/01/13,"Fri.","Carolina",1,"Ottawa",0,,18680
02/01/13,"Fri.","Anaheim",3,"Minnesota",1,,13007
02/01/13,"Fri.","Vancouver",2,"Chicago",1,"SO",18910
02/01/13,"Fri.","Washington",3,"Philadelphia",2,,18506
