"Team","Rank"
"COLORADO",1
"DETROIT",2
"NEW JERSEY",3
"  Y - OTTAWA",4
"  Y - DALLAS",5
"  X - ST. LOUIS",6
"  X - PHILADELPHIA",7
"  X - BUFFALO",8
"  X - PITTSBURGH",9
"  Y - WASHINGTON",10
"  X - SAN JOSE",11
"  X - EDMONTON",12
"  X - LOS ANGELES",13
"  X - TORONTO",14
"  X - VANCOUVER",15
"  PHOENIX",16
"  X - CAROLINA",17
"  BOSTON",18
"  NASHVILLE",19
"  CALGARY",20
"  NY RANGERS",21
"  CHICAGO",22
"  COLUMBUS",23
"  MONTRÉAL",24
"  MINNESOTA",25
"  ANAHEIM",26
"  FLORIDA",27
" ATLANTA",28
"  TAMPA BAY",29
"  NY ISLANDERS",30
