"  P - OTTAWA",1
"  Z - DALLAS",2
"  Y - DETROIT",3
"  Y - NEW JERSEY",4
"  X - PHILADELPHIA",5
"  X - VANCOUVER",6
"  Y - COLORADO",7
"  X - ST. LOUIS",8
"  X - TORONTO",9
"  X - ANAHEIM",10
"  Y - TAMPA BAY",11
"  X - MINNESOTA",12
"  X - WASHINGTON",13
"  X - EDMONTON",14
"  X - BOSTON",15
"  X - NY ISLANDERS",16
"  CHICAGO",17
"  LOS ANGELES",18
"  PHOENIX",19
"  MONTRÉAL",20
"  NY RANGERS",21
"  CALGARY",22
"  SAN JOSE",23
" ATLANTA",24
"  NASHVILLE",25
"  BUFFALO",26
"  FLORIDA",27
"  COLUMBUS",28
"  PITTSBURGH",29
"  CAROLINA",30
