,,"DIV","GP","W","L","T","OTL","P","GF","GA","DIFF","HOME","AWAY","L10","STREAK"
1,"  P - COLORADO","NW",82,52,16,10,4,118,270,192,78,"28-6-5-2","24-10-5-2","6-3-1-0","WON 1"
2,"  Y - DETROIT","CEN",82,49,20,9,4,111,253,202,51,"27-9-3-2","22-11-6-2","7-3-0-0","WON 2"
3,"  Z - NEW JERSEY","ATL",82,48,19,12,3,111,295,195,100,"24-11-6-0","24-8-6-3","8-2-0-0","WON 4"
4,"  Y - OTTAWA","NE",82,48,21,9,4,109,274,205,69,"26-7-5-3","22-14-4-1","7-1-1-1","WON 2"
5,"  Y - DALLAS","PAC",82,48,24,8,2,106,241,187,54,"26-10-5-0","22-14-3-2","8-0-2-0","WON 2"
6,"  X - ST. LOUIS","CEN",82,43,22,12,5,103,249,195,54,"28-5-5-3","15-17-7-2","3-4-2-1","WON 2"
7,"  X - PHILADELPHIA","ATL",82,43,25,11,3,100,240,207,33,"26-11-4-0","17-14-7-3","4-4-1-1","WON 2"
8,"  X - BUFFALO","NE",82,46,30,5,1,98,218,184,34,"26-12-3-0","20-18-2-1","6-4-0-0","LOST 1"
9,"  X - PITTSBURGH","ATL",82,42,28,9,3,96,281,256,25,"24-15-2-0","18-13-7-3","6-2-1-1","WON 1"
10,"  Y - WASHINGTON","SE",82,41,27,10,4,96,233,211,22,"24-9-6-2","17-18-4-2","4-4-0-2","WON 1"
11,"  X - SAN JOSE","PAC",82,40,27,12,3,95,217,192,25,"22-14-4-1","18-13-8-2","5-3-1-1","WON 1"
12,"  X - EDMONTON","NW",82,39,28,12,3,93,243,222,21,"23-9-7-2","16-19-5-1","4-4-2-0","WON 1"
13,"  X - LOS ANGELES","PAC",82,38,28,13,3,92,252,228,24,"20-12-8-1","18-16-5-2","4-1-3-2","WON 1"
14,"  X - TORONTO","NE",82,37,29,11,5,90,232,207,25,"19-11-7-4","18-18-4-1","5-5-0-0","LOST 1"
15,"  X - VANCOUVER","NW",82,36,28,11,7,90,239,238,1,"21-12-5-3","15-16-6-4","2-5-3-0","LOST 1"
16,"  PHOENIX","PAC",82,35,27,17,3,90,214,212,2,"21-11-7-2","14-16-10-1","4-3-2-1","WON 1"
17,"  X - CAROLINA","SE",82,38,32,9,3,88,212,225,-13,"23-15-3-0","15-17-6-3","5-4-1-0","LOST 1"
18,"  BOSTON","NE",82,36,30,8,8,88,227,249,-22,"21-12-5-3","15-18-3-5","7-2-0-1","WON 1"
19,"  NASHVILLE","CEN",82,34,36,9,3,80,186,200,-14,"16-18-7-0","18-18-2-3","6-3-1-0","LOST 1"
20,"  CALGARY","NW",82,27,36,15,4,73,197,236,-39,"12-18-9-2","15-18-6-2","4-5-1-0","LOST 2"
21,"  NY RANGERS","ATL",82,33,43,5,1,72,250,290,-40,"17-20-3-1","16-23-2-0","5-5-0-0","LOST 1"
22,"  CHICAGO","CEN",82,29,40,8,5,71,210,246,-36,"14-21-4-2","15-19-4-3","0-7-1-2","LOST 4"
23,"  COLUMBUS","CEN",82,28,39,9,6,71,190,233,-43,"19-15-4-3","9-24-5-3","4-5-1-0","WON 1"
24,"  MONTRÉAL","NE",82,28,40,8,6,70,206,232,-26,"15-20-4-2","13-20-4-4","4-2-2-2","LOST 1"
25,"  MINNESOTA","NW",82,25,39,13,5,68,168,210,-42,"14-13-10-4","11-26-3-1","1-6-3-0","LOST 1"
26,"  ANAHEIM","PAC",82,25,41,11,5,66,188,245,-57,"15-20-4-2","10-21-7-3","2-5-3-0","LOST 2"
27,"  FLORIDA","SE",82,22,38,13,9,66,200,246,-46,"12-18-7-4","10-20-6-5","4-4-2-0","WON 1"
28," ATLANTA","SE",82,23,45,12,2,60,211,289,-78,"10-23-6-2","13-22-6-0","3-7-0-0","LOST 2"
29,"  TAMPA BAY","SE",82,24,47,6,5,59,201,280,-79,"17-19-3-2","7-28-3-3","2-7-0-1","LOST 4"
30,"  NY ISLANDERS","ATL",82,21,51,7,3,52,185,268,-83,"12-27-1-1","9-24-6-2","2-7-1-0","LOST 3"
