,,"DIV","GP","W","L","OT","P","GF","GA","DIFF","HOME","AWAY","S/O","L10","STREAK"
1,"  P - DETROIT","CEN",82,58,16,8,124,305,209,96,"27-9-5","31-7-3",04/03/13,08/01/01,"LOST 1"
2,"  Z - OTTAWA","NE",82,52,21,9,113,314,211,103,"29-9-3","23-12-6",02/06/13,03/05/02,"WON 1"
3,"  Y - DALLAS","PAC",82,53,23,6,112,265,218,47,"28-11-2","25-12-4",12/01/13,04/03/03,"LOST 2"
4,"  Y - CAROLINA","SE",82,52,22,8,112,294,260,34,"31-8-2","21-14-6",08/02/13,05/03/02,"LOST 2"
5,"  X - BUFFALO","NE",82,52,24,6,110,281,239,42,"27-11-3","25-13-3",05/05/13,07/03/00,"WON 5"
6,"  X - NASHVILLE","CEN",82,49,25,8,106,259,227,32,08/01/32,"17-17-7",06/03/13,07/03/00,"WON 6"
7,"  Y - CALGARY","NW",82,46,25,11,103,218,200,18,"30-7-4","16-18-7",02/07/13,06/01/03,"LOST 2"
8,"  Y - NEW JERSEY","ATL",82,46,27,9,101,242,229,13,"27-11-3","19-16-6",09/04/13,"10-0-0","WON 11"
9,"  X - PHILADELPHIA","ATL",82,45,26,11,101,267,259,8,"22-13-6","23-13-5",04/06/13,05/04/01,"WON 1"
10,"  X - NY RANGERS","ATL",82,44,26,12,100,257,215,42,"25-10-6","19-16-6",07/04/13,04/06/00,"LOST 5"
11,"  X - SAN JOSE","PAC",82,44,27,11,99,266,242,24,"25-9-7","19-18-4",01/07/13,08/01/01,"LOST 1"
12,"  X - ANAHEIM","PAC",82,43,27,12,98,254,229,25,"26-10-5","17-17-7",03/07/13,06/04/00,"WON 1"
13,"  X - COLORADO","NW",82,43,30,9,95,283,257,26,"25-10-6","18-20-3",03/06/13,04/05/01,"LOST 3"
14,"  X - EDMONTON","NW",82,41,28,13,95,256,251,5,"20-15-6","21-13-7",07/09/13,05/04/01,"WON 2"
15,"  X - MONTRÉAL","NE",82,42,31,9,93,243,247,-4,"24-13-4","18-18-5",02/03/13,06/04/00,"LOST 2"
16,"  X - TAMPA BAY","SE",82,43,33,6,92,252,260,-8,"25-14-2","18-19-4",06/04/13,05/04/01,"LOST 1"
17,"  VANCOUVER","NW",82,42,32,8,92,256,255,1,"25-10-6","17-22-2",04/04/13,04/04/02,"WON 1"
18,"  TORONTO","NE",82,41,33,8,90,257,270,-13,"26-12-3","15-21-5",03/07/13,07/01/02,"WON 1"
19," ATLANTA","SE",82,41,33,8,90,281,275,6,"24-13-4","17-20-4",05/05/13,06/02/02,"LOST 2"
20,"  LOS ANGELES","PAC",82,42,35,5,89,249,270,-21,"26-14-1","16-21-4",06/01/13,04/06/00,"WON 2"
21,"  FLORIDA","SE",82,37,34,11,85,240,257,-17,"25-11-5",12/23/06,04/05/13,04/04/02,"WON 1"
22,"  MINNESOTA","NW",82,38,36,8,84,231,215,16,"23-16-2","15-20-6",05/03/13,05/04/01,"LOST 2"
23,"  PHOENIX","PAC",82,38,39,5,81,246,271,-25,"19-18-4","19-21-1",04/03/13,04/05/01,"WON 1"
24,"  NY ISLANDERS","ATL",82,36,40,6,78,230,278,-48,"20-18-3","16-22-3",09/03/13,03/06/01,"LOST 2"
25,"  COLUMBUS","CEN",82,35,43,4,74,223,279,-56,"23-18-0",12/25/04,08/03/13,06/03/01,"WON 1"
26,"  BOSTON","NE",82,29,37,16,74,230,266,-36,"16-15-10","13-22-6",02/08/13,01/05/04,"LOST 5"
27,"  WASHINGTON","SE",82,29,41,12,70,237,306,-69,"16-18-7","13-23-5",07/06/13,05/03/02,"WON 3"
28,"  CHICAGO","CEN",82,26,43,13,65,211,285,-74,"16-19-6",10/24/07,02/06/13,03/05/02,"WON 2"
29,"  PITTSBURGH","ATL",82,22,46,14,58,244,316,-72,12/21/08,10/25/06,01/06/13,04/04/02,"LOST 1"
30,"  ST. LOUIS","CEN",82,21,46,15,57,197,292,-95,12/23/06,09/23/09,04/08/13,01/07/02,"LOST 5"
