,,"DIV","GP","W","L","OT","P","ROW","GF","GA","DIFF","HOME","AWAY","S/O","L10","STREAK"
1,"  P - CHICAGO","CEN",48,36,7,5,77,30,155,102,53,"18-3-3","18-4-2",06/05/13,07/02/01,"LOST 1"
2,"  Z - PITTSBURGH","ATL",48,36,12,0,72,33,165,119,46,"18-6-0","18-6-0",03/01/00,08/02/00,"WON 1"
3,"  Y - ANAHEIM","PAC",48,30,12,6,66,24,140,118,22,"16-7-1","14-5-5",06/03/13,05/04/01,"LOST 1"
4,"  Y - MONTRÉAL","NE",48,29,14,5,63,26,149,126,23,"14-7-3","15-7-2",03/02/13,04/06/00,"WON 2"
5,"  X - BOSTON","NE",48,28,14,6,62,24,131,109,22,"16-5-3",12/09/03,04/03/13,03/05/02,"LOST 1"
6,"  X - ST. LOUIS","CEN",48,29,17,2,60,24,129,115,14,"15-8-1","14-9-1",05/01/13,07/03/00,"WON 3"
7,"  X - LOS ANGELES","PAC",48,27,16,5,59,25,133,118,15,"19-4-1",08/12/04,02/04/13,05/03/02,"WON 1"
8,"  Y - VANCOUVER","NW",48,26,15,7,59,21,127,121,6,"15-6-3",11/09/04,05/06/13,05/04/01,"LOST 2"
9,"  X - TORONTO","NE",48,26,17,5,57,26,145,133,12,"13-9-2","13-8-3","0-5",05/04/01,"LOST 1"
10,"  Y - WASHINGTON","SE",48,27,18,3,57,24,149,130,19,"15-8-1",12/10/02,03/01/00,08/01/01,"WON 1"
11,"  X - SAN JOSE","PAC",48,25,16,7,57,17,124,116,8,"17-2-5",08/14/02,08/04/13,05/05/00,"LOST 2"
12,"  X - NY RANGERS","ATL",48,26,18,4,56,22,130,112,18,"16-6-2",10/12/02,04/04/13,07/03/00,"WON 2"
13,"  X - DETROIT","CEN",48,24,16,8,56,22,124,115,9,"13-7-4",11/09/04,02/05/13,05/02/03,"WON 4"
14,"  X - OTTAWA","NE",48,25,17,6,56,21,116,104,12,"15-6-3",10/11/03,04/04/13,06/04/00,"WON 1"
15,"  X - MINNESOTA","NW",48,26,19,3,55,22,122,127,-5,"14-8-2",12/11/01,04/02/13,04/05/01,"WON 1"
16,"  X - NY ISLANDERS","ATL",48,24,17,7,55,20,139,139,"E",10/11/03,"14-6-4",04/03/13,06/01/03,"OT 1"
17,"  COLUMBUS","CEN",48,24,17,7,55,19,120,119,1,"14-5-5",10/12/02,05/04/13,08/02/00,"WON 3"
18,"  WINNIPEG","SE",48,24,21,3,51,22,128,144,-16,"13-10-1",11/11/02,02/03/13,06/03/01,"LOST 2"
19,"  PHOENIX","PAC",48,21,18,9,51,17,125,131,-6,"14-8-2",07/10/07,04/06/13,04/03/03,"WON 1"
20,"  PHILADELPHIA","ATL",48,23,22,3,49,22,133,141,-8,"15-7-2",08/15/01,01/02/13,06/04/00,"WON 4"
21,"  DALLAS","PAC",48,22,22,4,48,20,130,142,-12,11/11/02,11/11/02,02/01/13,04/05/01,"LOST 3"
22,"  NEW JERSEY","ATL",48,19,19,10,48,17,112,129,-17,"13-9-2",06/10/08,02/07/13,04/05/01,"LOST 1"
23,"  BUFFALO","NE",48,21,21,6,48,14,125,143,-18,11/10/03,10/11/03,07/04/13,06/04/00,"WON 2"
24,"  EDMONTON","NW",48,19,22,7,45,17,125,134,-9,09/11/04,10/11/03,02/03/13,03/07/00,"WON 2"
25,"  CALGARY","NW",48,19,25,4,42,19,128,160,-32,"13-9-2",06/16/02,"0-3",05/05/00,"LOST 3"
26,"  CAROLINA","SE",48,19,25,4,42,18,128,160,-32,09/14/01,10/11/03,01/01/12,03/05/02,"LOST 1"
27,"  NASHVILLE","CEN",48,16,23,9,41,14,111,139,-28,11/09/04,05/14/05,02/06/13,01/08/01,"LOST 2"
28,"  TAMPA BAY","SE",48,18,26,4,40,17,148,150,-2,12/10/02,06/16/02,01/03/13,02/06/02,"LOST 2"
29,"  COLORADO","NW",48,16,25,7,39,14,116,152,-36,12/09/03,04/16/04,02/02/13,04/04/02,"LOST 1"
30,"  FLORIDA","SE",48,15,27,6,36,12,112,171,-59,08/11/05,07/16/01,03/01/13,03/07/00,"WON 1"
